"Num","V_cmax","V_cmax_se","J_max","J","J_se","V_TPU","V_TPU_se","R_d","R_d_se","cost","citransition1","citransition2","V_cmax_pts","J_max_pts","V_TPU_pts","alpha","alpha_g","gamma_star25","Ea_gamma_star","K_M25","Ea_K_M","g_mc25","Ea_g_mc","Oconc","theta_J","ID","method","Data_point","meanTleaf","meanTleafK","Best_Vcmax_25C","Best_Jmax_25C"
0,26.662721988557,0.533550531051969,39.3252474977663,38.8130666567315,0.111723285434263,1000,NA,-0.177587101771412,0.0882459809548922,0.108452264525801,575.78333595,1299.717484,5,5,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6702L1","Traditional","Traditional",31.64662144,304.79662144,15.5839894041242,31.4952300472343
0,40.8105462290487,1.21558489805851,72.5472278121031,70.7145642986997,0.268077843031197,1000,NA,-0.614149391390963,0.231831195868365,0.692928192219239,707.76995,1678.493,5,5,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6704L1","Traditional","Traditional",31.323679,304.473679,24.2784088001277,58.3918529206226
0,33.8270355234437,1.16435485831657,64.2324099142491,62.8137756407466,0.264163803764999,1000,NA,-0.485521899468119,0.256175507332736,0.59375869515342,845.6846,1655.215,6,4,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6704L2","Traditional","Traditional",31.407929,304.557929,20.0290858293137,51.6282293157726
0,33.1387167574045,0.522241109008935,45.5314856375037,44.8384724150626,0.151360997862072,1000,NA,-0.220027497905163,0.0697167261867382,0.220256360198907,444.73575,1316.845,4,6,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6705L1","Traditional","Traditional",31.432287,304.582287,19.5950490380363,36.5827563660556
0,39.2806324043791,0.384079764452755,53.5590652174992,52.5884988519031,0.150495611359212,1000,NA,-0.280365084903093,0.0536903039312459,0.228494869307372,510.24685,1082.179,4,6,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6705L2","Traditional","Traditional",31.255683,304.405683,23.4588075863414,43.1583893338277
0,46.8853419184258,3.17111993794589,61.3641166793757,60.0749595920129,0.533832550312525,1000,NA,0.177217096737846,0.560838327981549,3.10104215822175,697.65685,1719.854,5,5,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6706L1","Traditional","Traditional",31.742465,304.892465,27.2666928635669,49.0816663804219
0,57.9963031428706,0.476931567824094,84.8667261795198,82.311278466312,0.163247142666081,1000,NA,-0.164251686187472,0.0659333617545673,0.19335531396742,530.9265,1506.074,4,5,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6706L2","Traditional","Traditional",31.5478977777778,304.697897777778,34.0773938937667,68.0661569289942
0,108.407381378101,2.00577789415463,121.49804472925,115.957700624607,0.641195017345041,1000,NA,-0.409686580465294,0.166003721091752,5.66215852022874,348.6445,1552.102,3,7,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6707L1","Traditional","Traditional",31.586369,304.736369,63.5661754782657,97.390616073482
0,135.547108474605,1.23633494982832,141.411258605526,133.672238991052,0.707214042797391,1000,NA,-0.251236646082415,0.105930293620491,7.12519992511022,353.2345,1576.099,3,7,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6707L2","Traditional","Traditional",30.963169,304.113169,82.3549166385333,114.563916417494
0,45.623294784878,0.656760052227369,62.3458790735644,61.0131590627991,0.254536593479668,1000,NA,-0.412793259779384,0.0913436970576264,0.696083386340421,513.3469907,1626.479007,4,6,0,0.24,0,42.75,37830,718.4,65508.28,0.08701,0,21,0.85,"K6708L1","Traditional","Traditional",31.769786334,304.919786334,26.4953318133923,49.8490271683388
